               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11768,            0.033791,                   0,           0.0049722,             0.82609,             0.03745,           0.0094174,            0.087282,            0.018625,                   0,               0.091,               0.001,               0.001
                   1,             0.10388,            0.032553,                   0,           0.0034329,             0.95652,            0.037861,           0.0082567,            0.073503,            0.016592,                   0,            0.080407,            0.001407,            0.001407
                   2,            0.088919,             0.03276,                   0,            0.037703,             0.73913,            0.084165,            0.020429,            0.071487,            0.014949,                   0,            0.069088,            0.001088,            0.001088
