               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11768,            0.033791,                   0,           0.0049722,             0.82609,             0.03745,           0.0094174,            0.087282,            0.018625,                   0,               0.091,               0.001,               0.001
                   1,             0.10047,            0.032596,                   0,           0.0088539,             0.91304,            0.045609,            0.010018,             0.07413,            0.016034,                   0,            0.081095,           0.0020948,           0.0020948
                   2,             0.08467,            0.032304,                   0,              0.2609,              0.4835,             0.24519,            0.068077,            0.066313,            0.013584,                   0,            0.071184,           0.0031842,           0.0031842
                   3,            0.073118,            0.028132,                   0,             0.42274,             0.43478,             0.37084,             0.14154,            0.064835,            0.013058,                   0,            0.061268,           0.0042681,           0.0042681
                   4,            0.069637,            0.027425,                   0,             0.45198,             0.58696,             0.56637,             0.23297,            0.057232,            0.013123,                   0,            0.051347,           0.0053465,           0.0053465
                   5,            0.065263,            0.025474,                   0,             0.44233,             0.67391,             0.58741,             0.21022,            0.052882,           0.0093921,                   0,             0.04142,           0.0064196,           0.0064196
                   6,            0.063582,            0.024737,                   0,             0.47696,             0.52174,             0.55648,             0.17582,            0.054651,           0.0079757,                   0,            0.031487,           0.0074871,           0.0074871
                   7,            0.061334,            0.024698,                   0,             0.71301,             0.76087,             0.81038,             0.31375,            0.050761,           0.0077136,                   0,            0.021549,           0.0085493,           0.0085493
                   8,            0.059496,            0.021738,                   0,             0.64671,             0.71739,             0.74012,             0.26047,             0.05346,            0.007061,                   0,            0.011606,            0.009606,            0.009606
                   9,            0.056319,            0.023352,                   0,             0.51286,             0.67391,             0.57447,             0.22831,            0.066217,           0.0073959,                   0,           0.0097773,           0.0097773,           0.0097773
                  10,            0.057465,            0.021839,                   0,             0.60832,              0.8913,             0.78284,             0.36984,            0.049681,           0.0064706,                   0,           0.0097773,           0.0097773,           0.0097773
                  11,            0.054736,            0.018971,                   0,             0.58655,             0.78261,             0.70971,             0.31884,            0.048612,           0.0063889,                   0,           0.0097525,           0.0097525,           0.0097525
                  12,            0.055416,            0.022132,                   0,             0.81033,             0.83602,             0.88934,             0.39452,             0.04221,           0.0063021,                   0,           0.0097278,           0.0097278,           0.0097278
                  13,            0.052956,            0.020009,                   0,             0.88837,              0.8913,             0.90345,             0.45612,            0.044512,           0.0065953,                   0,            0.009703,            0.009703,            0.009703
                  14,            0.050078,            0.018359,                   0,             0.64334,             0.76087,             0.68595,             0.28196,            0.048838,           0.0065806,                   0,           0.0096783,           0.0096783,           0.0096783
                  15,            0.050138,            0.018177,                   0,             0.57535,             0.76087,             0.64388,             0.28392,            0.046143,           0.0067511,                   0,           0.0096535,           0.0096535,           0.0096535
                  16,            0.045005,            0.019532,                   0,             0.50658,             0.60269,             0.47723,             0.16633,            0.052993,           0.0065407,                   0,           0.0096288,           0.0096288,           0.0096288
                  17,            0.049708,            0.019076,                   0,             0.61324,             0.76087,             0.61577,             0.24971,            0.047834,           0.0062029,                   0,            0.009604,            0.009604,            0.009604
                  18,            0.043304,            0.018532,                   0,             0.62831,             0.80852,             0.67739,             0.38698,            0.048499,           0.0062096,                   0,           0.0095793,           0.0095793,           0.0095793
                  19,            0.046408,            0.017994,                   0,             0.80337,             0.82609,             0.74403,             0.38389,            0.040257,           0.0058984,                   0,           0.0095545,           0.0095545,           0.0095545
                  20,            0.048338,            0.018484,                   0,             0.86603,              0.8913,              0.8778,             0.45433,            0.034515,           0.0058331,                   0,           0.0095298,           0.0095298,           0.0095298
                  21,            0.043957,            0.019644,                   0,             0.88827,             0.91304,             0.86097,             0.45703,            0.039345,           0.0053294,                   0,            0.009505,            0.009505,            0.009505
                  22,            0.041032,            0.018528,                   0,             0.82312,              0.9105,             0.82051,             0.44436,            0.041726,             0.00551,                   0,           0.0094803,           0.0094803,           0.0094803
                  23,             0.04398,            0.018557,                   0,             0.84757,             0.76087,             0.75881,             0.39168,            0.040353,           0.0057909,                   0,           0.0094555,           0.0094555,           0.0094555
