               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11639,             0.03372,                   0,            0.007786,             0.91304,            0.037083,           0.0097194,            0.062687,            0.018647,                   0,               0.082,               0.002,               0.002
                   1,            0.092832,            0.032655,                   0,             0.11192,             0.23913,             0.13743,            0.037169,            0.053137,            0.014754,                   0,            0.063032,           0.0040324,           0.0040324
                   2,            0.073607,            0.030993,                   0,             0.30024,             0.28261,             0.17374,            0.059263,            0.048435,             0.01224,                   0,            0.043995,           0.0059954,           0.0059954
                   3,            0.063318,            0.025659,                   0,             0.33072,             0.58013,             0.34634,             0.14539,            0.045608,            0.010869,                   0,            0.024889,           0.0078891,           0.0078891
                   4,            0.063565,            0.025582,                   0,             0.41649,              0.5742,             0.53037,             0.22015,            0.051049,           0.0097809,                   0,             0.00934,             0.00934,             0.00934
                   5,            0.064283,            0.024544,                   0,             0.54865,             0.52174,             0.56579,              0.2131,            0.047597,           0.0079263,                   0,             0.00934,             0.00934,             0.00934
                   6,            0.062801,            0.024607,                   0,             0.85541,             0.71739,              0.7921,             0.36673,            0.040917,           0.0068424,                   0,            0.009175,            0.009175,            0.009175
                   7,            0.055242,            0.023254,                   0,             0.71033,             0.71739,             0.75498,             0.33418,            0.038185,           0.0067249,                   0,             0.00901,             0.00901,             0.00901
                   8,            0.050635,            0.022283,                   0,             0.71076,             0.82609,             0.84844,             0.41604,            0.034465,           0.0066111,                   0,            0.008845,            0.008845,            0.008845
                   9,            0.054696,            0.021769,                   0,             0.72759,             0.86957,             0.80927,             0.38227,            0.037987,           0.0063812,                   0,             0.00868,             0.00868,             0.00868
                  10,            0.053737,            0.021055,                   0,             0.77571,             0.75197,             0.83008,             0.40516,            0.038888,           0.0064189,                   0,            0.008515,            0.008515,            0.008515
                  11,            0.054454,            0.019406,                   0,             0.76644,             0.78261,             0.84524,             0.45795,            0.037031,           0.0059975,                   0,             0.00835,             0.00835,             0.00835
                  12,            0.048187,            0.022381,                   0,             0.68439,             0.78261,              0.7525,             0.37954,            0.034875,            0.006144,                   0,            0.008185,            0.008185,            0.008185
                  13,            0.051295,            0.020257,                   0,             0.79094,             0.82609,             0.79006,             0.46421,            0.031163,           0.0060788,                   0,             0.00802,             0.00802,             0.00802
                  14,            0.041401,            0.019156,                   0,             0.81491,             0.86152,             0.79484,             0.31623,             0.03396,           0.0062773,                   0,            0.007855,            0.007855,            0.007855
                  15,            0.047151,            0.017915,                   0,             0.77539,             0.82609,             0.76101,             0.38322,            0.030927,           0.0062021,                   0,             0.00769,             0.00769,             0.00769
                  16,            0.042328,            0.019652,                   0,             0.71639,             0.82372,             0.69124,             0.27461,            0.036012,           0.0070322,                   0,            0.007525,            0.007525,            0.007525
                  17,            0.044264,            0.019092,                   0,              0.6837,             0.73913,             0.63211,             0.25699,            0.035326,           0.0065958,                   0,             0.00736,             0.00736,             0.00736
                  18,            0.042824,            0.018101,                   0,             0.74817,             0.82609,             0.76062,             0.37819,            0.032898,           0.0063208,                   0,            0.007195,            0.007195,            0.007195
                  19,            0.042951,            0.018682,                   0,             0.84128,             0.78261,             0.80194,               0.438,            0.028244,           0.0060236,                   0,             0.00703,             0.00703,             0.00703
                  20,            0.043973,            0.018731,                   0,             0.88741,             0.85682,             0.82406,             0.45415,              0.0279,           0.0057863,                   0,            0.006865,            0.006865,            0.006865
                  21,            0.040859,            0.019739,                   0,             0.83576,             0.73913,             0.77324,             0.42034,            0.027848,           0.0059948,                   0,              0.0067,              0.0067,              0.0067
                  22,            0.038855,            0.020238,                   0,             0.76431,             0.86957,             0.78453,             0.44955,            0.027934,           0.0054595,                   0,            0.006535,            0.006535,            0.006535
                  23,            0.038804,            0.019305,                   0,             0.82573,              0.8913,             0.85704,             0.48052,            0.026205,           0.0056299,                   0,             0.00637,             0.00637,             0.00637
                  24,            0.036674,            0.017959,                   0,              0.9401,              0.8913,             0.90172,             0.55285,            0.024773,           0.0053923,                   0,            0.006205,            0.006205,            0.006205
                  25,            0.035088,            0.017453,                   0,             0.90525,              0.8913,             0.87025,             0.50878,            0.025738,           0.0054718,                   0,             0.00604,             0.00604,             0.00604
                  26,            0.038406,            0.016949,                   0,             0.93253,             0.86957,             0.90643,             0.50656,            0.027589,           0.0055439,                   0,            0.005875,            0.005875,            0.005875
                  27,            0.037657,            0.016129,                   0,             0.87977,              0.8913,              0.8913,             0.54406,            0.026161,           0.0056004,                   0,             0.00571,             0.00571,             0.00571
                  28,             0.03536,            0.016333,                   0,             0.83356,              0.8913,             0.88646,              0.5315,            0.025766,           0.0053544,                   0,            0.005545,            0.005545,            0.005545
                  29,            0.035798,            0.017642,                   0,             0.84514,             0.80435,             0.83915,              0.5013,            0.027345,           0.0055021,                   0,             0.00538,             0.00538,             0.00538
                  30,            0.037181,            0.016855,                   0,             0.87478,             0.82609,             0.81834,             0.51081,            0.028029,           0.0052203,                   0,            0.005215,            0.005215,            0.005215
                  31,             0.03609,            0.017248,                   0,             0.87713,             0.82609,             0.82092,              0.4139,             0.03065,           0.0052039,                   0,             0.00505,             0.00505,             0.00505
                  32,            0.031301,            0.015031,                   0,             0.84822,             0.86957,             0.86626,             0.50197,            0.027692,           0.0051814,                   0,            0.004885,            0.004885,            0.004885
                  33,            0.033184,            0.016132,                   0,              0.8822,             0.86957,             0.82013,             0.52254,            0.026651,           0.0050257,                   0,             0.00472,             0.00472,             0.00472
                  34,             0.03327,            0.016744,                   0,             0.82892,             0.78261,             0.79328,             0.47242,             0.02657,           0.0052882,                   0,            0.004555,            0.004555,            0.004555
                  35,            0.031104,            0.016196,                   0,             0.85039,             0.73913,             0.78863,             0.46187,             0.02894,           0.0054008,                   0,             0.00439,             0.00439,             0.00439
                  36,            0.030164,            0.015832,                   0,             0.88445,             0.82609,             0.81671,             0.49105,            0.026873,             0.00541,                   0,            0.004225,            0.004225,            0.004225
                  37,            0.032567,            0.015331,                   0,             0.88371,             0.82603,             0.84686,             0.49827,            0.026584,           0.0054694,                   0,             0.00406,             0.00406,             0.00406
                  38,             0.02983,             0.01543,                   0,             0.86001,             0.82609,             0.81413,             0.48975,            0.028472,            0.005521,                   0,            0.003895,            0.003895,            0.003895
                  39,            0.031534,            0.016147,                   0,             0.85615,             0.82609,             0.82583,             0.44106,            0.029393,           0.0053062,                   0,             0.00373,             0.00373,             0.00373
                  40,            0.029092,            0.014879,                   0,             0.85988,             0.82609,             0.81598,              0.4617,            0.028882,           0.0053162,                   0,            0.003565,            0.003565,            0.003565
                  41,            0.028843,            0.016139,                   0,             0.85799,             0.82609,             0.80071,             0.43936,            0.028143,           0.0053446,                   0,              0.0034,              0.0034,              0.0034
                  42,            0.032402,            0.016677,                   0,             0.86655,             0.84701,             0.81986,             0.46039,             0.02718,           0.0052511,                   0,            0.003235,            0.003235,            0.003235
                  43,            0.028837,            0.014827,                   0,             0.86058,             0.86957,             0.84628,             0.47685,            0.028711,           0.0050819,                   0,             0.00307,             0.00307,             0.00307
                  44,            0.028114,             0.01507,                   0,             0.91854,             0.82609,             0.85849,             0.48818,            0.026092,           0.0051333,                   0,            0.002905,            0.002905,            0.002905
                  45,            0.027647,            0.014453,                   0,             0.91573,             0.82609,             0.84927,             0.49228,             0.02602,           0.0052935,                   0,             0.00274,             0.00274,             0.00274
                  46,            0.027119,            0.014706,                   0,             0.86035,             0.82609,              0.8116,             0.48686,            0.026459,           0.0051977,                   0,            0.002575,            0.002575,            0.002575
                  47,            0.029037,            0.014319,                   0,             0.85919,             0.82609,              0.8063,             0.48277,            0.025837,           0.0051253,                   0,             0.00241,             0.00241,             0.00241
                  48,            0.029662,            0.014843,                   0,             0.86275,             0.82609,             0.80359,             0.44999,            0.027901,           0.0051397,                   0,            0.002245,            0.002245,            0.002245
                  49,            0.028588,            0.014641,                   0,              0.8826,             0.82609,             0.80781,             0.47822,            0.026767,           0.0051892,                   0,             0.00208,             0.00208,             0.00208
                  50,            0.028109,            0.014908,                   0,             0.87215,             0.82609,             0.79918,             0.47509,            0.026859,            0.005261,                   0,            0.001915,            0.001915,            0.001915
                  51,            0.024789,            0.014635,                   0,             0.86212,             0.82609,             0.79762,             0.46878,            0.027418,           0.0053428,                   0,             0.00175,             0.00175,             0.00175
                  52,            0.028512,            0.014996,                   0,             0.86022,             0.82609,             0.79873,             0.47866,            0.027081,             0.00535,                   0,            0.001585,            0.001585,            0.001585
                  53,            0.027487,             0.01436,                   0,             0.87317,             0.82609,             0.79031,             0.46794,            0.026872,           0.0053428,                   0,             0.00142,             0.00142,             0.00142
                  54,            0.026525,            0.013732,                   0,             0.87501,             0.82609,             0.81408,              0.4984,            0.026696,            0.005285,                   0,            0.001255,            0.001255,            0.001255
                  55,            0.028683,            0.015093,                   0,             0.87476,             0.82609,             0.81558,             0.50042,             0.02567,           0.0052133,                   0,             0.00109,             0.00109,             0.00109
                  56,            0.025984,            0.013773,                   0,             0.88551,             0.82609,             0.83361,             0.50947,            0.024856,           0.0050865,                   0,            0.000925,            0.000925,            0.000925
                  57,            0.025863,            0.014077,                   0,             0.90087,             0.82609,             0.83374,              0.5102,            0.024882,           0.0050478,                   0,             0.00076,             0.00076,             0.00076
                  58,            0.025093,            0.013999,                   0,             0.91139,             0.82609,              0.8508,             0.51901,            0.024636,           0.0050053,                   0,            0.000595,            0.000595,            0.000595
                  59,            0.023706,             0.01455,                   0,             0.91001,             0.82609,             0.85488,             0.53217,            0.024691,           0.0049571,                   0,             0.00043,             0.00043,             0.00043
