               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11768,            0.033791,                   0,           0.0049722,             0.82609,             0.03745,           0.0094174,            0.087282,            0.018625,                   0,               0.091,               0.001,               0.001
                   1,             0.10054,            0.032595,                   0,           0.0087579,             0.91304,            0.046736,            0.010082,            0.074158,            0.016036,                   0,            0.081083,           0.0020827,           0.0020827
                   2,            0.084657,            0.032325,                   0,             0.26778,             0.47826,             0.24496,            0.064556,            0.066865,            0.013486,                   0,            0.071147,           0.0031472,           0.0031472
                   3,            0.073324,            0.028182,                   0,             0.49372,             0.42413,             0.40353,             0.14098,            0.065067,             0.01292,                   0,            0.061194,           0.0041936,           0.0041936
                   4,            0.068955,            0.027707,                   0,              0.5032,              0.6087,             0.61892,             0.22129,            0.058419,            0.013522,                   0,            0.051222,           0.0052218,           0.0052218
                   5,            0.064404,            0.025511,                   0,             0.26268,             0.47826,             0.30338,             0.11151,             0.05928,           0.0096562,                   0,            0.041232,           0.0062319,           0.0062319
                   6,            0.063547,            0.025114,                   0,             0.73424,             0.66079,              0.7362,             0.31035,            0.052446,           0.0076809,                   0,            0.031224,           0.0072238,           0.0072238
                   7,            0.063168,            0.024316,                   0,             0.50431,             0.63043,              0.5671,              0.1879,            0.060594,           0.0072653,                   0,            0.021198,           0.0081976,           0.0081976
                   8,            0.056658,            0.022078,                   0,             0.56298,             0.76087,             0.66429,             0.29627,             0.05149,           0.0067159,                   0,            0.011153,           0.0091532,           0.0091532
                   9,            0.052701,            0.023445,                   0,             0.58542,             0.84783,             0.71959,             0.31999,            0.056896,           0.0070647,                   0,           0.0092575,           0.0092575,           0.0092575
                  10,            0.058504,            0.021119,                   0,             0.57675,             0.76087,             0.66439,             0.32303,            0.046814,           0.0064863,                   0,           0.0092575,           0.0092575,           0.0092575
                  11,            0.054883,            0.019336,                   0,             0.66738,             0.93478,             0.75078,             0.29196,            0.049432,           0.0058377,                   0,            0.009175,            0.009175,            0.009175
                  12,            0.054567,             0.02236,                   0,             0.65307,             0.82609,             0.75025,             0.34529,            0.042925,           0.0059261,                   0,           0.0090925,           0.0090925,           0.0090925
                  13,            0.053797,             0.02009,                   0,             0.79567,             0.84783,             0.84246,             0.43812,             0.04461,            0.006747,                   0,             0.00901,             0.00901,             0.00901
                  14,            0.049543,            0.018412,                   0,             0.49209,             0.80435,             0.60287,             0.26905,            0.044519,           0.0063601,                   0,           0.0089275,           0.0089275,           0.0089275
                  15,            0.049886,            0.017931,                   0,             0.51194,             0.82609,             0.60472,             0.32938,            0.041386,           0.0058333,                   0,            0.008845,            0.008845,            0.008845
                  16,            0.042383,            0.019337,                   0,             0.68515,             0.85158,              0.7537,             0.34775,            0.037857,           0.0065157,                   0,           0.0087625,           0.0087625,           0.0087625
                  17,            0.047854,            0.018939,                   0,             0.75159,             0.84783,             0.85411,             0.38811,            0.034805,            0.006416,                   0,             0.00868,             0.00868,             0.00868
                  18,             0.04342,            0.018594,                   0,             0.47828,             0.69565,             0.53851,             0.18746,             0.04614,           0.0070504,                   0,           0.0085975,           0.0085975,           0.0085975
                  19,             0.04593,            0.018389,                   0,             0.74987,             0.91242,             0.80092,             0.36886,            0.040192,           0.0064746,                   0,            0.008515,            0.008515,            0.008515
                  20,            0.049011,            0.019413,                   0,             0.63553,             0.78261,             0.68785,             0.31829,            0.040175,           0.0064929,                   0,           0.0084325,           0.0084325,           0.0084325
                  21,            0.043325,            0.020209,                   0,              0.7809,             0.69565,             0.70812,              0.3741,            0.044075,           0.0062649,                   0,             0.00835,             0.00835,             0.00835
                  22,            0.043609,            0.018955,                   0,             0.84447,             0.76087,             0.78373,             0.42906,            0.040127,           0.0062122,                   0,           0.0082675,           0.0082675,           0.0082675
                  23,            0.042678,            0.018418,                   0,             0.79908,             0.77822,             0.75159,             0.32922,            0.042131,           0.0056492,                   0,            0.008185,            0.008185,            0.008185
                  24,            0.042964,            0.017675,                   0,             0.80477,             0.84783,             0.73782,              0.3462,             0.04117,           0.0055277,                   0,           0.0081025,           0.0081025,           0.0081025
                  25,            0.042021,            0.017405,                   0,             0.90459,             0.82444,             0.87381,             0.44396,            0.037515,           0.0057896,                   0,             0.00802,             0.00802,             0.00802
                  26,            0.038075,            0.016337,                   0,             0.92046,             0.67391,             0.78177,             0.44779,            0.041051,           0.0052333,                   0,           0.0079375,           0.0079375,           0.0079375
                  27,            0.040581,            0.016649,                   0,              0.8628,             0.84783,             0.82541,             0.43385,            0.036559,            0.005446,                   0,            0.007855,            0.007855,            0.007855
                  28,            0.039958,            0.016471,                   0,             0.72336,             0.80435,             0.79262,             0.44427,            0.035762,           0.0054067,                   0,           0.0077725,           0.0077725,           0.0077725
                  29,            0.039145,            0.018319,                   0,             0.87762,             0.77957,             0.82477,             0.43597,            0.035723,           0.0061022,                   0,             0.00769,             0.00769,             0.00769
