               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090259,             0.03372,                   0,            0.021948,             0.58696,            0.035234,           0.0067354,            0.049858,            0.017963,                   0,            0.070366,           0.0032927,           0.0032927
                   1,            0.069458,            0.031969,                   0,             0.21638,             0.34783,             0.19566,            0.067322,            0.047176,            0.012236,                   0,            0.040257,           0.0065167,           0.0065167
                   2,            0.060271,            0.027357,                   0,             0.37541,                 0.5,             0.43664,             0.14276,            0.040884,             0.01065,                   0,            0.010037,           0.0096307,           0.0096307
                   3,            0.055127,            0.024047,                   0,             0.37995,             0.45652,              0.3856,             0.10343,            0.043548,           0.0094472,                   0,            0.009505,            0.009505,            0.009505
                   4,            0.053422,            0.024628,                   0,             0.50397,             0.56522,             0.50443,             0.23213,            0.037686,           0.0088515,                   0,            0.009505,            0.009505,            0.009505
                   5,            0.048575,            0.025518,                   0,             0.53764,             0.78261,             0.57935,             0.25535,            0.031755,           0.0078151,                   0,             0.00934,             0.00934,             0.00934
                   6,            0.048067,             0.02485,                   0,             0.55936,             0.80435,             0.58295,             0.23355,            0.032236,           0.0073016,                   0,            0.009175,            0.009175,            0.009175
                   7,            0.042763,            0.024488,                   0,              0.5631,              0.6087,             0.53252,              0.2244,            0.041676,           0.0066983,                   0,             0.00901,             0.00901,             0.00901
                   8,            0.048032,            0.021736,                   0,             0.65744,             0.56522,             0.56708,              0.1961,            0.042699,           0.0065948,                   0,            0.008845,            0.008845,            0.008845
                   9,            0.045903,            0.022591,                   0,             0.54033,             0.65217,             0.59311,             0.23092,            0.036207,           0.0077497,                   0,             0.00868,             0.00868,             0.00868
                  10,            0.041248,            0.021889,                   0,             0.91848,             0.73493,             0.88693,             0.34599,            0.028231,           0.0074329,                   0,            0.008515,            0.008515,            0.008515
                  11,            0.041845,            0.020462,                   0,             0.74462,             0.63043,             0.70337,             0.34693,            0.027271,           0.0071983,                   0,             0.00835,             0.00835,             0.00835
                  12,            0.038805,            0.023447,                   0,             0.61527,             0.73913,             0.63762,             0.31132,            0.029362,           0.0065168,                   0,            0.008185,            0.008185,            0.008185
                  13,            0.042137,            0.020831,                   0,              0.6494,             0.78261,             0.73397,             0.32439,            0.030426,           0.0063069,                   0,             0.00802,             0.00802,             0.00802
                  14,            0.038194,            0.019872,                   0,             0.81614,             0.80435,             0.82244,             0.42127,            0.025669,           0.0064384,                   0,            0.007855,            0.007855,            0.007855
                  15,             0.04032,            0.019057,                   0,             0.75748,              0.8149,             0.76939,             0.36243,            0.027851,           0.0061589,                   0,             0.00769,             0.00769,             0.00769
                  16,            0.035986,            0.020497,                   0,             0.72726,             0.86951,             0.72432,             0.34375,            0.028638,           0.0062976,                   0,            0.007525,            0.007525,            0.007525
                  17,            0.038194,            0.019448,                   0,             0.74401,              0.8913,             0.79301,             0.36199,            0.029394,           0.0063923,                   0,             0.00736,             0.00736,             0.00736
                  18,            0.034567,            0.017676,                   0,              0.8478,             0.82609,             0.80683,             0.44221,            0.025085,           0.0067605,                   0,            0.007195,            0.007195,            0.007195
                  19,            0.033551,            0.019641,                   0,             0.76451,             0.84691,             0.75369,             0.37936,            0.026954,           0.0063234,                   0,             0.00703,             0.00703,             0.00703
                  20,            0.033792,            0.019046,                   0,             0.78713,             0.76087,             0.75219,             0.37424,            0.027629,           0.0061252,                   0,            0.006865,            0.006865,            0.006865
                  21,            0.035417,            0.020717,                   0,             0.74312,             0.84783,             0.72574,             0.38299,            0.025874,           0.0061213,                   0,              0.0067,              0.0067,              0.0067
                  22,            0.034909,            0.019868,                   0,             0.79687,             0.80435,             0.70605,             0.38154,            0.025977,           0.0058202,                   0,            0.006535,            0.006535,            0.006535
                  23,            0.030501,            0.019631,                   0,             0.80761,             0.78261,             0.75379,             0.37296,            0.027446,           0.0058848,                   0,             0.00637,             0.00637,             0.00637
                  24,            0.031948,            0.018527,                   0,             0.83958,             0.78261,             0.78515,             0.37629,            0.027197,           0.0057669,                   0,            0.006205,            0.006205,            0.006205
                  25,            0.028482,            0.018083,                   0,             0.85254,             0.78261,             0.77229,             0.39332,            0.025695,           0.0059459,                   0,             0.00604,             0.00604,             0.00604
                  26,            0.028226,             0.01744,                   0,             0.88074,             0.80435,             0.81263,             0.47301,            0.022139,           0.0058534,                   0,            0.005875,            0.005875,            0.005875
                  27,            0.027244,            0.016479,                   0,             0.89713,              0.7584,             0.80247,             0.49746,            0.022368,            0.005633,                   0,             0.00571,             0.00571,             0.00571
