               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.03296,            0.014283,                   0,             0.80322,              0.7987,             0.80707,             0.40456,            0.043935,           0.0050142,                   0,           0.0069475,           0.0069475,           0.0069475
                  39,            0.028887,            0.015758,                   0,             0.75029,             0.86957,             0.76598,             0.39071,            0.039625,           0.0051956,                   0,            0.006865,            0.006865,            0.006865
                  40,            0.034896,            0.014376,                   0,              0.8259,             0.86957,             0.80562,              0.4565,            0.038533,           0.0045528,                   0,           0.0067825,           0.0067825,           0.0067825
                  41,            0.030827,             0.01519,                   0,             0.84361,             0.86957,             0.84438,             0.43468,             0.04241,           0.0049438,                   0,              0.0067,              0.0067,              0.0067
                  42,            0.032228,            0.015704,                   0,             0.82732,             0.86957,             0.76362,             0.40847,            0.041847,           0.0052497,                   0,           0.0066175,           0.0066175,           0.0066175
                  43,            0.032957,            0.015669,                   0,             0.86697,              0.8913,             0.88286,             0.51551,            0.037305,           0.0047736,                   0,            0.006535,            0.006535,            0.006535
                  44,            0.035001,            0.016903,                   0,             0.95212,              0.8646,              0.8913,             0.52477,            0.035883,           0.0044765,                   0,           0.0064525,           0.0064525,           0.0064525
                  45,            0.034658,             0.01571,                   0,             0.79539,             0.86957,             0.85374,             0.47962,            0.038848,           0.0046687,                   0,             0.00637,             0.00637,             0.00637
                  46,             0.03405,            0.014963,                   0,             0.77317,             0.84783,              0.8334,             0.46046,            0.037574,            0.004977,                   0,           0.0062875,           0.0062875,           0.0062875
                  47,            0.032844,            0.014802,                   0,             0.81571,             0.82609,              0.8473,             0.49369,            0.033025,           0.0049839,                   0,            0.006205,            0.006205,            0.006205
                  48,            0.027164,            0.012271,                   0,             0.89812,             0.65217,              0.8136,             0.47666,            0.040088,           0.0050504,                   0,           0.0061225,           0.0061225,           0.0061225
                  49,            0.030329,            0.016815,                   0,             0.61945,             0.71739,             0.76395,             0.40525,            0.038543,           0.0059676,                   0,             0.00604,             0.00604,             0.00604
                  50,            0.029289,            0.013239,                   0,              0.7997,             0.78261,             0.83834,             0.46574,            0.036464,           0.0052199,                   0,           0.0059575,           0.0059575,           0.0059575
                  51,            0.031865,            0.013753,                   0,             0.75362,             0.86957,             0.84557,             0.46579,            0.035379,           0.0050716,                   0,            0.005875,            0.005875,            0.005875
                  52,            0.028749,             0.01437,                   0,             0.83033,             0.78261,             0.87777,             0.45487,            0.041181,           0.0054495,                   0,           0.0057925,           0.0057925,           0.0057925
                  53,            0.030276,            0.015276,                   0,             0.76057,             0.86957,              0.8422,              0.4769,            0.037636,           0.0052249,                   0,             0.00571,             0.00571,             0.00571
                  54,            0.027575,            0.012655,                   0,             0.84001,             0.91304,             0.92337,              0.5191,             0.03609,           0.0050285,                   0,           0.0056275,           0.0056275,           0.0056275
                  55,            0.028694,            0.013527,                   0,             0.85311,             0.86957,             0.87579,             0.48263,             0.03704,           0.0047045,                   0,            0.005545,            0.005545,            0.005545
                  56,            0.028573,            0.013639,                   0,             0.89091,             0.88778,             0.88342,             0.50576,            0.035269,           0.0044241,                   0,           0.0054625,           0.0054625,           0.0054625
                  57,            0.028291,            0.014534,                   0,             0.91168,             0.91304,             0.91505,             0.53272,            0.032637,           0.0044212,                   0,             0.00538,             0.00538,             0.00538
                  58,            0.030234,            0.013544,                   0,             0.91031,             0.91304,             0.91206,             0.51004,            0.034299,           0.0042782,                   0,           0.0052975,           0.0052975,           0.0052975
                  59,            0.029852,             0.01687,                   0,              0.9216,              0.8913,             0.89127,             0.50104,            0.034396,           0.0043385,                   0,            0.005215,            0.005215,            0.005215
                  60,            0.028345,            0.013977,                   0,             0.90833,             0.91304,             0.91322,             0.53368,            0.035868,           0.0043325,                   0,           0.0051325,           0.0051325,           0.0051325
                  61,            0.023369,            0.013244,                   0,             0.92018,             0.84783,             0.88941,             0.48066,            0.037891,           0.0046282,                   0,             0.00505,             0.00505,             0.00505
                  62,            0.027966,            0.012574,                   0,             0.94588,             0.86957,             0.91286,             0.53421,            0.036736,           0.0045443,                   0,           0.0049675,           0.0049675,           0.0049675
                  63,            0.031019,            0.013569,                   0,             0.91088,             0.88886,             0.89869,             0.51393,            0.035146,           0.0047014,                   0,            0.004885,            0.004885,            0.004885
                  64,            0.030626,            0.013605,                   0,              0.8888,             0.86882,              0.8763,             0.51568,            0.036277,           0.0046372,                   0,           0.0048025,           0.0048025,           0.0048025
                  65,            0.027314,            0.012842,                   0,             0.86589,             0.86957,             0.86097,             0.48834,            0.035794,           0.0046358,                   0,             0.00472,             0.00472,             0.00472
                  66,             0.02693,            0.012699,                   0,             0.82894,             0.86957,             0.87132,              0.5107,            0.039459,           0.0045571,                   0,           0.0046375,           0.0046375,           0.0046375
                  67,            0.027207,            0.011471,                   0,              0.9372,             0.78261,             0.86791,             0.53582,            0.034589,           0.0045018,                   0,            0.004555,            0.004555,            0.004555
                  68,             0.02587,            0.013715,                   0,             0.86164,             0.82609,             0.85938,             0.52215,            0.037805,            0.004344,                   0,           0.0044725,           0.0044725,           0.0044725
                  69,            0.026663,             0.01217,                   0,             0.97197,             0.91304,             0.93284,             0.54213,            0.034448,           0.0043623,                   0,             0.00439,             0.00439,             0.00439
                  70,            0.026352,            0.012134,                   0,             0.96538,             0.91304,             0.92744,             0.55362,            0.035309,           0.0044544,                   0,           0.0043075,           0.0043075,           0.0043075
                  71,            0.023333,            0.013101,                   0,             0.95333,             0.88812,             0.92021,             0.54134,            0.036675,           0.0044706,                   0,            0.004225,            0.004225,            0.004225
                  72,            0.023666,            0.011834,                   0,             0.90807,             0.86957,             0.91767,             0.50431,            0.040618,            0.004678,                   0,           0.0041425,           0.0041425,           0.0041425
                  73,            0.025018,             0.01202,                   0,             0.87469,             0.91053,             0.91595,             0.51373,            0.042375,           0.0050423,                   0,             0.00406,             0.00406,             0.00406
                  74,            0.026231,            0.012896,                   0,              0.9409,             0.84783,             0.90805,             0.48619,            0.045574,           0.0050976,                   0,           0.0039775,           0.0039775,           0.0039775
                  75,            0.030843,            0.013627,                   0,             0.95101,             0.84417,             0.88531,             0.47913,            0.047038,            0.004622,                   0,            0.003895,            0.003895,            0.003895
                  76,            0.025757,            0.012358,                   0,             0.90393,             0.80435,              0.8518,             0.49119,            0.043298,           0.0045292,                   0,           0.0038125,           0.0038125,           0.0038125
                  77,            0.026581,            0.012631,                   0,             0.94947,             0.81716,             0.85322,             0.48404,             0.04198,           0.0045924,                   0,             0.00373,             0.00373,             0.00373
                  78,            0.025747,            0.012995,                   0,             0.94505,             0.82609,             0.86021,             0.48591,            0.037433,           0.0046244,                   0,           0.0036475,           0.0036475,           0.0036475
                  79,            0.023006,            0.012275,                   0,              0.8858,             0.84322,             0.84421,             0.47791,            0.037509,           0.0045402,                   0,            0.003565,            0.003565,            0.003565
                  80,             0.02452,             0.01341,                   0,             0.92233,             0.84783,             0.87126,             0.50214,            0.038172,           0.0046616,                   0,           0.0034825,           0.0034825,           0.0034825
                  81,            0.024575,            0.012857,                   0,             0.92238,             0.84783,             0.88007,             0.52013,            0.036767,           0.0046246,                   0,              0.0034,              0.0034,              0.0034
                  82,            0.026907,            0.011263,                   0,             0.87944,             0.84783,             0.87259,             0.50305,            0.037742,            0.004725,                   0,           0.0033175,           0.0033175,           0.0033175
                  83,            0.022876,            0.011429,                   0,             0.87916,             0.84783,             0.85977,             0.50077,            0.038868,           0.0048556,                   0,            0.003235,            0.003235,            0.003235
                  84,            0.022538,            0.012542,                   0,             0.86566,             0.82609,             0.86758,             0.53772,            0.039112,           0.0046358,                   0,           0.0031525,           0.0031525,           0.0031525
                  85,            0.024423,            0.011674,                   0,             0.92303,             0.82609,             0.86159,             0.53173,            0.039388,            0.004746,                   0,             0.00307,             0.00307,             0.00307
                  86,            0.024481,            0.013798,                   0,             0.94431,             0.84783,             0.89681,             0.55145,            0.035784,           0.0048504,                   0,           0.0029875,           0.0029875,           0.0029875
                  87,            0.024481,            0.012624,                   0,             0.94489,             0.84783,             0.87946,             0.52868,            0.036538,            0.005048,                   0,            0.002905,            0.002905,            0.002905
                  88,            0.021426,            0.012217,                   0,             0.92409,             0.82609,             0.85059,             0.51987,             0.03632,           0.0048454,                   0,           0.0028225,           0.0028225,           0.0028225
                  89,             0.02205,            0.010852,                   0,             0.87051,             0.87699,             0.90322,             0.53073,            0.038632,           0.0046217,                   0,             0.00274,             0.00274,             0.00274
                  90,            0.024535,            0.011668,                   0,             0.90684,             0.86957,             0.90236,             0.53869,            0.036565,           0.0045602,                   0,           0.0026575,           0.0026575,           0.0026575
                  91,             0.02233,            0.011973,                   0,             0.86439,             0.84783,              0.8767,              0.5318,            0.039542,           0.0046473,                   0,            0.002575,            0.002575,            0.002575
                  92,            0.021965,            0.012354,                   0,               0.888,             0.91304,             0.91188,             0.53085,            0.037562,           0.0046456,                   0,           0.0024925,           0.0024925,           0.0024925
                  93,            0.023471,            0.011194,                   0,             0.89035,             0.88271,             0.88158,             0.52886,            0.040107,           0.0045066,                   0,             0.00241,             0.00241,             0.00241
                  94,            0.022395,            0.011818,                   0,             0.90351,              0.8913,             0.91114,              0.5448,             0.03813,           0.0044842,                   0,           0.0023275,           0.0023275,           0.0023275
                  95,            0.024134,            0.011649,                   0,             0.92852,             0.84722,             0.90591,             0.52364,            0.036897,           0.0045288,                   0,            0.002245,            0.002245,            0.002245
